"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
2026-02-28,"bangor",0,"Flu ED visits pct",2026-02-28,"quantile",0.05,1.0465
2026-02-28,"bangor",0,"Flu ED visits pct",2026-02-28,"quantile",0.1,1.593
2026-02-28,"bangor",0,"Flu ED visits pct",2026-02-28,"quantile",0.25,2
2026-02-28,"bangor",0,"Flu ED visits pct",2026-02-28,"quantile",0.5,2.1
2026-02-28,"bangor",0,"Flu ED visits pct",2026-02-28,"quantile",0.75,2.2
2026-02-28,"bangor",0,"Flu ED visits pct",2026-02-28,"quantile",0.9,2.607
2026-02-28,"bangor",0,"Flu ED visits pct",2026-02-28,"quantile",0.95,3.1535
2026-02-28,"bangor",0,"Flu ED visits pct",2026-02-28,"quantile",0.975,4.4305
2026-02-28,"bangor",1,"Flu ED visits pct",2026-03-07,"quantile",0.025,0
2026-02-28,"bangor",1,"Flu ED visits pct",2026-03-07,"quantile",0.05,0
2026-02-28,"bangor",1,"Flu ED visits pct",2026-03-07,"quantile",0.1,1.05946046046046
2026-02-28,"bangor",1,"Flu ED visits pct",2026-03-07,"quantile",0.25,1.81242242242242
2026-02-28,"bangor",1,"Flu ED visits pct",2026-03-07,"quantile",0.5,2.1
2026-02-28,"bangor",1,"Flu ED visits pct",2026-03-07,"quantile",0.75,2.4323998998999
2026-02-28,"bangor",1,"Flu ED visits pct",2026-03-07,"quantile",0.9,3.16322022022022
2026-02-28,"bangor",1,"Flu ED visits pct",2026-03-07,"quantile",0.95,4.35607557557557
2026-02-28,"bangor",1,"Flu ED visits pct",2026-03-07,"quantile",0.975,5.5456634134134
2026-02-28,"bangor",2,"Flu ED visits pct",2026-03-14,"quantile",0.025,0
2026-02-28,"bangor",2,"Flu ED visits pct",2026-03-14,"quantile",0.05,0
2026-02-28,"bangor",2,"Flu ED visits pct",2026-03-14,"quantile",0.1,0.379083083083083
2026-02-28,"bangor",2,"Flu ED visits pct",2026-03-14,"quantile",0.25,1.57
2026-02-28,"bangor",2,"Flu ED visits pct",2026-03-14,"quantile",0.5,2.1
2026-02-28,"bangor",2,"Flu ED visits pct",2026-03-14,"quantile",0.75,2.60051301301301
2026-02-28,"bangor",2,"Flu ED visits pct",2026-03-14,"quantile",0.9,3.83946846846847
2026-02-28,"bangor",2,"Flu ED visits pct",2026-03-14,"quantile",0.95,5.1764019019019
2026-02-28,"bangor",2,"Flu ED visits pct",2026-03-14,"quantile",0.975,5.78942942942943
2026-02-28,"bangor",3,"Flu ED visits pct",2026-03-21,"quantile",0.025,0
2026-02-28,"bangor",3,"Flu ED visits pct",2026-03-21,"quantile",0.05,0
2026-02-28,"bangor",3,"Flu ED visits pct",2026-03-21,"quantile",0.1,0
2026-02-28,"bangor",3,"Flu ED visits pct",2026-03-21,"quantile",0.25,1.37507507507507
2026-02-28,"bangor",3,"Flu ED visits pct",2026-03-21,"quantile",0.5,2.1
2026-02-28,"bangor",3,"Flu ED visits pct",2026-03-21,"quantile",0.75,2.77256756756757
2026-02-28,"bangor",3,"Flu ED visits pct",2026-03-21,"quantile",0.9,4.32344144144144
2026-02-28,"bangor",3,"Flu ED visits pct",2026-03-21,"quantile",0.95,5.58339889889889
2026-02-28,"bangor",3,"Flu ED visits pct",2026-03-21,"quantile",0.975,6.14648523523523
2026-02-28,"beaumont",0,"Flu ED visits pct",2026-02-28,"quantile",0.025,0
2026-02-28,"beaumont",0,"Flu ED visits pct",2026-02-28,"quantile",0.05,0.0385
2026-02-28,"beaumont",0,"Flu ED visits pct",2026-02-28,"quantile",0.1,0.888036036036036
2026-02-28,"beaumont",0,"Flu ED visits pct",2026-02-28,"quantile",0.25,1.70253753753754
2026-02-28,"beaumont",0,"Flu ED visits pct",2026-02-28,"quantile",0.5,1.85
2026-02-28,"beaumont",0,"Flu ED visits pct",2026-02-28,"quantile",0.75,1.99746246246246
2026-02-28,"beaumont",0,"Flu ED visits pct",2026-02-28,"quantile",0.9,2.81196396396396
2026-02-28,"beaumont",0,"Flu ED visits pct",2026-02-28,"quantile",0.95,3.6615
2026-02-28,"beaumont",0,"Flu ED visits pct",2026-02-28,"quantile",0.975,4.23625
2026-02-28,"beaumont",1,"Flu ED visits pct",2026-03-07,"quantile",0.025,0
2026-02-28,"beaumont",1,"Flu ED visits pct",2026-03-07,"quantile",0.05,0
2026-02-28,"beaumont",1,"Flu ED visits pct",2026-03-07,"quantile",0.1,0.195246246246246
2026-02-28,"beaumont",1,"Flu ED visits pct",2026-03-07,"quantile",0.25,1.47029029029029
2026-02-28,"beaumont",1,"Flu ED visits pct",2026-03-07,"quantile",0.5,1.85
2026-02-28,"beaumont",1,"Flu ED visits pct",2026-03-07,"quantile",0.75,2.2807007007007
2026-02-28,"beaumont",1,"Flu ED visits pct",2026-03-07,"quantile",0.9,3.51060960960961
2026-02-28,"beaumont",1,"Flu ED visits pct",2026-03-07,"quantile",0.95,4.26158258258258
2026-02-28,"beaumont",1,"Flu ED visits pct",2026-03-07,"quantile",0.975,4.8902002002002
2026-02-28,"beaumont",2,"Flu ED visits pct",2026-03-14,"quantile",0.025,0
2026-02-28,"beaumont",2,"Flu ED visits pct",2026-03-14,"quantile",0.05,0
2026-02-28,"beaumont",2,"Flu ED visits pct",2026-03-14,"quantile",0.1,0
